indicator, indicator.label, indicator.sort
"EAR_XEES_SEX_ECO_NB","Mean nominal monthly earnings of employees by sex and economic activity (local currency)",296
"EAR_4MTH_SEX_OCU_CUR_NB","Mean nominal monthly earnings of employees by sex and occupation -- Harmonized series",297
"EAR_XEES_SEX_OCU_NB","Mean nominal monthly earnings of employees by sex and occupation (local currency)",298
"EAR_4MMN_CUR_NB","Statutory nominal gross monthly minimum wage -- Harmonized series",299
"EAR_INEE_NOC_NB","Statutory nominal gross monthly minimum wage (local currency)",300
"EAR_HEES_SEX_OCU_NB","Mean nominal hourly earnings of employees by sex and occupation (local currency)",301
"EAR_4HRL_SEX_OCU_CUR_NB","Mean nominal hourly earnings of employees by sex and occupation -- Harmonized series",302
"EAR_XTLP_SEX_RT","Low pay rate by sex (%)",303
"EAR_XFLS_NOC_RT","Female share of low pay earners (%)",304
"EAR_GGAP_OCU_RT","Gender wage gap by occupation (%)",305
"EAR_4MNP_NOC_NB","Statutory nominal gross monthly minimum wage -- Harmonized series (constant 2011 PPP $)",306
"EAR_4HPT_NOC_NB","Average hourly earnings of employees -- Harmonized series (constant 2011 PPP $)",307
"EAR_4HPM_NOC_NB","Average hourly earnings of employees, men -- Harmonized series (constant 2011 PPP $)",308
"EAR_4HPW_NOC_NB","Average hourly earnings of employees, women -- Harmonized series (constant 2011 PPP $)",309
"EAR_4MPT_NOC_NB","Average monthly earnings of employees -- Harmonized series (constant 2011 PPP $)",310
"EAR_4MPM_NOC_NB","Average monthly earnings of employees, men -- Harmonized series (constant 2011 PPP $)",311
"EAR_4MPW_NOC_NB","Average monthly earnings of employees, women -- Harmonized series (constant 2011 PPP $)",312
"EAR_TEAR_NOC_NB","Average monthly earnings of employees (local currency)",313
"EAR_XMFG_NOC_NB","Average monthly earnings of employees, manufacturing (local currency)",314
"EAR_MEAR_NOC_NB","Average monthly earnings of employees, men (local currency)",315
"EAR_FEAR_NOC_NB","Average monthly earnings of employees, women (local currency)",316
"EAR_GGAP_NOC_RT","Gender wage gap (%)",317
"LAC_XEES_ECO_NB","Mean nominal hourly labour cost per employee by economic activity (local currency)",318
"LAC_4HRL_ECO_CUR_NB","Mean nominal hourly labour cost per employee by economic activity -- Harmonized series",319
"LAC_4HPT_NOC_NB","Average hourly labour cost per employee -- Harmonized series (constant 2011 PPP $)",320
"LAC_TLAC_NOC_NB","Labour cost per employee (local currency)",321
"LAC_XMFG_NOC_NB","Labour cost per employee, manufacturing (local currency)",322
"SOC_HCOV_GEO_RT","Legal health coverage deficit by rural / urban areas (% of population without legal coverage) (%)",323
"SOC_OOPE_GEO_RT","Out-of-pocket expenditure as a percentage of total health expenditure by rural / urban areas (%)",324
"SOC_MMPB_GEO_RT","Maternal mortality ratio per 10 000 live births by rural / urban areas (%)",325
"SOC_CGFR_GEO_RT","Financial deficit by rural / urban areas (% of population not covered due to financial resource deficit) (%)",326
"SOC_CGHP_GEO_RT","Staff access deficit by rural / urban areas (% of population not covered due to health professional staff deficit) (%)",327
"SOC_HEXP_INS_RT","Total health expenditure as a percent of GDP by institutional sector (%)",328
"SOC_SOCP_SEX_RT","Share of unemployed receiving regular periodic social security unemployment benefits by sex (%)",329
"SOC_HCOV_NOC_RT","Social health protection coverage as a percent of total population (%)",330
"SOC_NPHC_NOC_RT","Percentage of health care expenditure not financed by private households' out of pocket payments (%)",331
"SOC_EGGE_NOC_RT","Public health expenditure as a percent of General Government Expenditure (%)",332
"SOC_PSPE_EXP_RT","Public social protection expenditure as a percent of GDP in function of health care (%)",333
"SOC_EBEN_AGE_RT","Public social protection expenditure on benefits as a percent of GDP by age (%)",334
"SOC_WBEN_NOC_RT","Public social protection expenditure on benefits for the working-age as a percent of GDP in function of general social assistance (%)",335
"SOC_PPEN_SEX_GEO_RT","Share of population above statutory pensionable age receiving a contributory old age pension by sex and rural / urban areas (%)",336
"SOC_PPEN_SEX_RT","Share of population above statutory pensionable age receiving an old age pension by sex (%)",337
"SOC_CEAP_SEX_RT","Active contributors to an old age contributory scheme as a percent of labour force by sex (%)",338
"SOC_CEAP_SEX_GEO_RT","Active contributors to an old age contributory scheme as a percent of employment by sex and rural / urban areas (%)",339
"SOC_CWAP_SEX_RT","Active contributors to an old age contributory scheme as a percent of the working age population by sex (%)",340
"SOC_HEXT_NOC_RT","Total health expenditure as a percent of GDP (%)",341
"SOC_HEXR_NOC_RT","Private health expenditure as a percent of GDP (%)",342
"SOC_HEXU_NOC_RT","Public health expenditure as a percent of GDP (%)",343
"SOC_PEXT_NOC_RT","Public social protection expenditure [all functions] as a percent of GDP (%)",344
"SOC_PEXN_NOC_RT","Public social protection expenditure [excluding health care] as a percent of GDP (%)",345
"SOC_EBEO_NOC_RT","Public social protection expenditure on old age and survivors' benefits as a percent of GDP (%)",346
"SOC_EBEW_NOC_RT","Public social protection expenditure on benefits for the working age as a percent of GDP (%)",347
"SOC_EBEC_NOC_RT","Public social protection expenditure on benefits for children as a percent of GDP (%)",348
"SOC_CEAT_NOC_RT","Active contributors to an old age contributory scheme as a percent of labour force (%)",349
"SOC_CWAT_NOC_RT","Active contributors to an old age contributory scheme as a percent of the working-age population (%)",350
"INJ_DAYS_SEX_MIG_NB","Days lost due to cases of occupational injury with temporary incapacity for work by sex and migrant status",351
"INJ_DAYS_ECO_NB","Days lost due to cases of occupational injury with temporary incapacity for work by economic activity",352
"INJ_FATL_SEX_MIG_NB","Cases of fatal occupational injury by sex and migrant status",353
"INJ_FATL_ECO_NB","Cases of fatal occupational injury by economic activity",354
"INJ_NFTL_SEX_MIG_NB","Cases of non-fatal occupational injury by sex and migrant status",355
"INJ_NFTL_ECO_NB","Cases of non-fatal occupational injury by economic activity",356
"INJ_NFTL_INJ_ECO_NB","Cases of non-fatal occupational injury by type of incapacity and economic activity",357
"INJ_NFTL_SEX_INJ_MIG_NB","Cases of non-fatal occupational injury by sex, type of incapacity and migrant status",358
"INJ_FATL_SEX_MIG_RT","Fatal occupational injuries per 100'000 workers by sex and migrant status",359
"INJ_FATL_ECO_RT","Fatal occupational injuries per 100'000 workers by economic activity",360
"INJ_NFTL_SEX_MIG_RT","Non-fatal occupational injuries per 100'000 workers by sex and migrant status",361
"INJ_NFTL_ECO_RT","Non-fatal occupational injuries per 100'000 workers by economic activity",362
"LAI_WOPL_NOC_NB","Registered workplaces that could be selected for labour inspection",363
"LAI_INSP_SEX_NB","Number of labour inspectors by sex (thousands)",364
"LAI_VIST_NOC_NB","Number of labour inspection visits to workplaces during the year",365
"LAI_INDE_NOC_RT","Inspectors per 10'000 employed persons",366
"LAI_VDIN_NOC_RT","Labour inspection visits per inspector",367
"INJ_IRNF_NOC_RT","Non-fatal occupational injuries per 100'000 workers",368
"INJ_TLPI_NOC_NB","Days lost per occupational injury",369
"INJ_IRFA_NOC_RT","Fatal occupational injuries per 100'000 workers",370
"ILR_TUMT_NOC_RT","Trade union density rate (%)",371
"ILR_CBCT_NOC_RT","Collective bargaining coverage rate (%)",372
"STR_TSTR_ECO_NB","Number of strikes and lockouts by economic activity",373
"STR_DAYS_ECO_NB","Days not worked due to strikes and lockouts by economic activity",374
"STR_WORK_ECO_NB","Workers involved in strikes and lockouts by economic activity (thousands)",375
"STR_DAYS_ECO_RT","Days not worked per 1000 workers due to strikes and lockouts by economic activity (per 1000 workers)",376
"STR_DAYS_NOC_RT","Days not worked per 1000 workers due to strikes and lockouts (per 1000 workers)",377
"MST_XWAP_SEX_AGE_CBR_NB","Working-age population by sex, age and place of birth (thousands)",378
"MST_XWAP_SEX_AGE_CCT_NB","Working-age population by sex, age and citizenship (thousands)",379
"MST_XWAP_SEX_EDU_CBR_NB","Working-age population by sex, education and place of birth (thousands)",380
"MST_XWAP_SEX_EDU_CCT_NB","Working-age population by sex, education and citizenship (thousands)",381
"MNA_TPOP_SEX_CRS_NB","Stock of nationals abroad by sex and country of residence (thousands)",382
"MFL_FPOP_SEX_CBR_NB","Inflow of foreign-born working-age population by sex and country of birth (in thousands)",383
"MFL_NCIT_SEX_CCT_NB","Inflow of working-age non-citizens by sex and country of citizenship (in thousands)",384
"MFL_FWAP_SEX_EDU_NB","Inflow of foreign-born working-age population by sex and education (in thousands)",385
"MFL_NWAP_SEX_EDU_NB","Inflow of working-age non-citizens of working age by sex and education (in thousands)",386
"MNA_XRET_SEX_CPR_NB","Inflow of nationals returned from abroad by sex and country of previous residence (thousands)",387
"MFL_FEMP_SEX_ECO_NB","Inflow of foreign-born employed persons by sex and economic activity (in thousands)",388
"MST_FORP_SEX_CBR_NB","Foreign-born working-age population by sex and country of birth (in thousands)",389
"MFL_NEMP_SEX_ECO_NB","Inflow of employed non-citizens by sex and economic activity (in thousands)",390
"MFL_FEMP_SEX_OCU_NB","Inflow of foreign-born employed persons by sex and occupation (in thousands)",391
"MFL_NEMP_SEX_OCU_NB","Inflow of employed non-citizens by sex and occupation (in thousands)",392
"MNA_OPOP_SEX_CDS_NB","Outflow of nationals by sex and country of destination (thousands)",393
"MST_NCTP_SEX_CCT_NB","Non-citizen working-age population by sex and country of citizenship (in thousands)",394
"MST_TEAP_SEX_AGE_CBR_NB","Labour force by sex, age and place of birth (thousands)",395
"MST_TEAP_SEX_AGE_CCT_NB","Labour force by sex, age and citizenship (thousands)",396
"MST_TEAP_SEX_AGE_CBR_RT","Labour force participation rate by sex, age and place of birth (thousands)",397
"MST_TEAP_SEX_AGE_CCT_RT","Labour force participation rate by sex, age and citizenship (thousands)",398
"MST_TEMP_SEX_AGE_CBR_NB","Employment by sex, age and place of birth (thousands)",399
"MST_TEMP_SEX_AGE_CCT_NB","Employment by sex, age and citizenship (thousands)",400
"MST_TEMP_SEX_ECO_CBR_NB","Employment by sex, economic activity and place of birth (thousands)",401
"MST_TEMP_SEX_ECO_CCT_NB","Employment by sex, economic activity and citizenship (thousands)",402
"MST_TEMP_SEX_OCU_CBR_NB","Employment by sex, occupation and place of birth (thousands)",403
"MST_TEMP_SEX_OCU_CCT_NB","Employment by sex, occupation and citizenship (thousands)",404
"MST_TEMP_SEX_STE_CBR_NB","Employment by sex, status in employment and place of birth (thousands)",405
"MST_TEMP_SEX_STE_CCT_NB","Employment by sex, status in employment and citizenship (thousands)",406
"MST_TEMP_SEX_AGE_CBR_RT","Employment-to-population ratio by sex, age and place of birth (%)",407
"MST_TEMP_SEX_AGE_CCT_RT","Employment-to-population ratio by sex, age and citizenship (%)",408
"MST_TEMP_SEX_CBR_ECO_DT","Employment distribution by economic activity (by sex and place of birth) (%)",409
"MST_TEMP_SEX_CCT_ECO_DT","Employment distribution by economic activity (by sex and citizenship) (%)",410
"MST_TEMP_SEX_CBR_OCU_DT","Employment distribution by occupation (by sex and place of birth) (%)",411
"MST_TEMP_SEX_CCT_OCU_DT","Employment distribution by occupation (by sex and citizenship) (%)",412
"MST_TEMP_SEX_CBR_STE_DT","Employment distribution by status in employment (by sex and place of birth) (%)",413
"MST_TEMP_SEX_CCT_STE_DT","Employment distribution by status in employment (by sex and citizenship) (%)",414
"MST_FORE_SEX_CBR_NB","Employed foreign-born persons by sex and country of birth (in thousands)",415
"MST_NCTE_SEX_CCT_NB","Employed non-citizens by sex and country of citizenship (in thousands)",416
"MNA_OEMP_SEX_CDS_NB","Outflow of nationals for employment by sex and country of destination (thousands)",417
"MNA_OEMP_SEX_EDU_NB","Outflow of nationals for employment by sex and education (thousands)",418
"MNA_OEMP_SEX_ECO_NB","Outflow of nationals for employment by sex and economic activity (thousands)",419
"MNA_OEMP_SEX_OCU_NB","Outflow of nationals for employment by sex and occupation (thousands)",420
"MST_TUNE_SEX_AGE_CBR_NB","Unemployment by sex, age and place of birth (in thousands)",421
"MST_TUNE_SEX_AGE_CCT_NB","Unemployment by sex, age and citizenship (in thousands)",422
"MST_TUNE_SEX_AGE_CBR_RT","Unemployment rate by sex, age and place of birth (%)",423
"MST_TUNE_SEX_AGE_CCT_RT","Unemployment rate by sex, age and citizenship (%)",424
"MST_EARA_SEX_CBR_NB","Mean nominal monthly earnings of employees by sex and place of birth (local currency)",425
"MST_EARA_SEX_CCT_NB","Mean nominal monthly earnings of employees by sex and citizenship (local currency)",426
"MST_TEIP_SEX_AGE_CBR_NB","Persons outside the labour force by sex, age and place of birth (in thousands)",427
"MST_TEIP_SEX_AGE_CCT_NB","Persons outside the labour force by sex, age and citizenship (in thousands)",428
"CPI_NCPD_COI_RT","National consumer price index (CPI) by COICOP, percentage change from previous period (%)",429
"CPI_NCYR_COI_RT","National consumer price index (CPI) by COICOP, percentage change from previous year (%)",430
"CPI_NWGT_COI_DT","National consumer price index (CPI) by COICOP, country weights",431
"CPI_ACPI_COI_RT","National consumer price index (CPI), annual rate of change - discontinued",432
"CPI_MCPI_COI_RT","National consumer price index (CPI), monthly rate of change - discontinued",433
